EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
62,39,No,Travel_Frequently,Research & Development,4,3,Human Resources,3,Male,3,5,Manufacturing Director,3,Single,148047,1,Yes,24,3,2,2,21,2,3,21,3,1,2
63,27,Yes,Non-Travel,Research & Development,19,4,Life Sciences,4,Male,4,3,Research Director,3,Single,91787,5,No,13,4,2,1,9,0,1,7,5,3,6
64,36,No,Non-Travel,Research & Development,2,1,Marketing,3,Female,3,2,Laboratory Technician,2,Married,76541,0,Yes,13,3,4,1,18,1,4,0,0,0,0
65,29,No,Travel_Frequently,Research & Development,7,2,Marketing,4,Male,3,2,Laboratory Technician,1,Married,85179,9,Yes,11,3,3,0,11,0,3,1,1,1,0
66,39,No,Non-Travel,Research & Development,28,3,Human Resources,3,Female,3,2,Laboratory Technician,2,Married,82395,6,No,18,4,3,1,21,0,3,0,0,0,0
67,23,No,Non-Travel,Sales,17,1,Technical Degree,4,Male,3,5,Sales Representative,2,Married,128888,1,No,17,3,4,0,5,1,3,11,11,8,5
68,30,No,Travel_Rarely,Sales,20,2,Other,4,Male,3,2,Manager,2,Single,86798,1,Yes,15,3,4,3,12,1,3,10,3,1,9
69,36,Yes,Travel_Frequently,Research & Development,10,3,Human Resources,3,Female,4,3,Research Director,4,Single,94962,7,Yes,18,3,3,1,18,0,4,0,0,0,0
70,39,No,Travel_Frequently,Research & Development,15,5,Other,4,Female,3,4,Research Scientist,1,Single,117591,8,No,22,4,3,1,21,6,4,9,3,6,1
71,43,No,Travel_Frequently,Human Resources,12,3,Marketing,4,Male,1,4,Manager,4,Married,123981,7,No,19,3,3,2,25,4,1,1,1,0,1
72,39,Yes,Non-Travel,Sales,5,3,Marketing,4,Female,3,1,Manager,1,Divorced,70188,2,No,12,3,4,1,21,2,3,0,0,0,0
73,50,Yes,Travel_Frequently,Research & Development,17,3,Life Sciences,3,Female,4,2,Research Scientist,3,Married,104389,8,No,21,3,4,0,32,0,2,4,3,1,4
74,56,Yes,Travel_Frequently,Human Resources,25,5,Medical,1,Male,4,1,Manager,1,Divorced,57875,8,No,21,3,2,0,38,0,4,2,0,1,1
75,30,No,Non-Travel,Research & Development,26,4,Medical,3,Male,3,3,Research Director,1,Married,112255,7,No,19,3,4,3,12,1,4,25,17,2,3
76,45,Yes,Travel_Rarely,Research & Development,4,5,Life Sciences,2,Female,4,2,Healthcare Representative,3,Married,81346,7,Yes,16,3,3,2,27,6,2,8,0,4,6
77,25,No,Travel_Rarely,Human Resources,12,2,Life Sciences,4,Female,3,1,Human Resources,4,Married,97471,5,No,17,4,4,2,7,1,4,18,8,0,0
78,47,No,Non-Travel,Research & Development,5,5,Other,4,Male,3,1,Laboratory Technician,4,Divorced,62962,1,Yes,15,3,4,1,29,0,2,30,0,1,1
79,35,No,Travel_Frequently,Sales,10,4,Life Sciences,3,Male,3,1,Sales Executive,3,Divorced,88567,8,No,14,3,4,0,17,4,1,3,1,0,3
80,37,Yes,Non-Travel,Research & Development,12,1,Marketing,3,Female,3,1,Research Scientist,3,Single,70704,6,No,15,3,3,1,19,2,4,10,10,3,1
81,27,No,Travel_Rarely,Research & Development,25,4,Life Sciences,4,Male,3,1,Healthcare Representative,3,Married,67864,2,No,13,3,4,0,9,6,2,21,3,0,4
82,23,Yes,Travel_Frequently,Sales,14,4,Other,2,Female,3,5,Sales Representative,3,Married,169165,5,No,12,3,2,0,5,2,4,0,0,0,0
83,47,No,Travel_Rarely,Research & Development,15,5,Other,1,Female,3,4,Healthcare Representative,4,Married,131012,1,Yes,21,3,4,1,29,2,3,5,3,4,2
84,42,No,Travel_Rarely,Sales,22,4,Life Sciences,4,Female,3,1,Sales Representative,4,Single,90529,2,No,13,3,3,0,24,0,1,8,0,0,0
85,46,No,Travel_Frequently,Research & Development,4,1,Other,4,Male,3,3,Research Director,3,Single,83618,6,No,21,3,4,1,28,2,3,3,2,3,1
86,50,No,Non-Travel,Sales,26,3,Other,4,Female,2,1,Sales Representative,3,Married,71111,2,Yes,18,4,2,0,32,5,4,3,3,3,3
87,21,No,Travel_Rarely,Research & Development,18,2,Human Resources,2,Male,4,3,Laboratory Technician,3,Single,109166,8,Yes,16,3,2,0,3,4,2,4,4,1,1
88,25,No,Travel_Frequently,Research & Development,18,5,Medical,1,Female,3,3,Research Director,4,Single,120045,5,No,25,3,3,1,7,1,4,0,0,0,0
89,40,Yes,Travel_Frequently,Research & Development,18,3,Medical,4,Male,3,2,Research Director,2,Divorced,75901,1,Yes,14,3,4,1,22,2,2,1,1,1,1
90,28,No,Non-Travel,Research & Development,9,2,Human Resources,4,Male,1,1,Research Director,3,Married,77560,1,No,21,3,4,1,10,0,3,1,0,0,1
91,36,No,Non-Travel,Research & Development,5,3,Other,4,Female,2,2,Healthcare Representative,4,Married,74471,7,No,14,3,1,3,18,3,3,1,1,1,1
92,30,No,Non-Travel,Research & Development,29,2,Marketing,2,Male,3,2,Healthcare Representative,3,Divorced,93209,9,No,14,4,1,0,12,3,2,14,10,0,1
93,42,Yes,Travel_Rarely,Research & Development,20,4,Marketing,1,Female,4,2,Research Director,2,Divorced,101362,5,Yes,11,3,3,2,24,0,4,1,0,0,1
94,23,Yes,Travel_Rarely,Research & Development,27,5,Other,3,Female,3,3,Manager,3,Divorced,130503,8,Yes,23,3,2,0,5,3,3,4,4,0,1
95,42,No,Non-Travel,Research & Development,29,5,Medical,3,Female,2,3,Healthcare Representative,2,Married,114668,7,Yes,18,3,1,0,24,4,3,5,3,0,2
96,22,No,Travel_Frequently,Research & Development,29,1,Human Resources,3,Female,1,2,Healthcare Representative,3,Married,93051,1,Yes,20,3,3,3,4,3,3,2,1,0,1
97,31,No,Travel_Frequently,Research & Development,4,2,Life Sciences,2,Male,4,3,Research Director,3,Married,93776,3,Yes,20,4,3,1,13,0,3,0,0,0,0
98,36,No,Travel_Frequently,Sales,15,5,Marketing,1,Female,3,4,Manager,4,Divorced,152199,8,No,16,4,2,1,18,3,2,0,0,0,0
99,27,No,Non-Travel,Research & Development,16,3,Technical Degree,2,Female,4,3,Manager,2,Married,107144,4,Yes,14,3,2,3,9,5,3,2,1,2,2
100,24,No,Non-Travel,Sales,9,4,Medical,3,Female,1,4,Sales Executive,3,Single,138444,1,No,25,3,2,0,6,2,4,0,0,0,0
101,31,Yes,Travel_Frequently,Sales,18,2,Technical Degree,3,Male,3,1,Sales Executive,3,Divorced,57040,1,No,23,3,1,1,13,5,3,1,1,0,1
102,39,No,Non-Travel,Human Resources,2,4,Technical Degree,1,Female,4,3,Manager,4,Single,109246,2,No,25,3,3,3,21,3,3,0,0,0,0
103,31,Yes,Non-Travel,Research & Development,7,1,Marketing,4,Female,3,2,Research Scientist,1,Single,101330,2,No,19,3,4,1,13,6,3,1,1,1,1
104,21,Yes,Travel_Frequently,Sales,4,2,Medical,4,Female,4,3,Manager,3,Married,118150,8,No,12,3,4,3,3,2,2,10,0,0,2
105,22,No,Non-Travel,Research & Development,22,5,Other,4,Female,3,5,Manufacturing Director,2,Married,150721,1,Yes,15,3,4,0,4,3,1,0,0,0,0
106,36,Yes,Non-Travel,Sales,27,2,Medical,2,Male,3,1,Manager,1,Divorced,51834,7,No,19,3,3,2,18,6,4,5,0,0,0
107,46,No,Travel_Frequently,Research & Development,22,2,Other,1,Female,3,1,Manager,3,Divorced,61346,5,Yes,19,3,3,0,28,6,3,2,2,2,2
108,18,Yes,Travel_Rarely,Research & Development,2,4,Marketing,1,Male,4,2,Manufacturing Director,3,Divorced,78046,0,No,14,3,4,1,0,5,3,3,3,3,3
109,40,Yes,Non-Travel,Research & Development,13,4,Life Sciences,2,Male,4,1,Manufacturing Director,2,Divorced,60940,6,No,24,4,4,2,22,3,3,19,0,0,5
110,47,Yes,Travel_Frequently,Research & Development,18,4,Medical,2,Male,4,5,Research Scientist,3,Single,153816,7,No,22,3,4,0,29,5,4,1,1,0,0
111,40,No,Travel_Rarely,Human Resources,28,1,Medical,4,Male,3,4,Human Resources,3,Divorced,123685,0,Yes,20,3,1,1,22,3,4,7,2,0,7
112,47,No,Travel_Frequently,Sales,22,5,Medical,4,Male,3,2,Sales Executive,2,Married,83878,5,No,15,4,3,0,29,1,4,4,1,1,1
113,37,Yes,Travel_Frequently,Research & Development,10,4,Medical,3,Male,3,3,Manager,3,Divorced,135146,5,No,17,3,4,0,19,5,4,1,1,0,1
114,39,No,Travel_Frequently,Research & Development,18,2,Life Sciences,4,Female,3,4,Laboratory Technician,3,Married,141562,1,Yes,24,3,2,1,21,3,3,0,0,0,0
115,40,No,Travel_Frequently,Research & Development,8,5,Other,3,Male,4,2,Laboratory Technician,4,Single,83770,1,No,23,3,1,3,22,5,4,6,3,4,6
116,32,Yes,Travel_Rarely,Research & Development,7,3,Marketing,2,Female,2,2,Manufacturing Director,3,Married,77252,7,No,24,3,3,1,14,6,3,1,1,0,1
117,41,Yes,Non-Travel,Sales,24,4,Technical Degree,2,Female,3,1,Sales Representative,2,Single,75004,5,No,23,3,2,2,23,2,3,2,2,0,2
118,34,No,Travel_Rarely,Research & Development,27,2,Life Sciences,3,Male,4,4,Manufacturing Director,3,Divorced,115318,0,No,11,3,1,0,16,6,1,11,0,0,5
119,44,No,Travel_Rarely,Research & Development,22,4,Medical,3,Female,4,3,Research Director,1,Single,130334,4,No,19,3,1,1,26,0,3,8,3,0,1
120,20,Yes,Travel_Frequently,Research & Development,2,1,Technical Degree,3,Female,4,1,Healthcare Representative,3,Married,92440,1,Yes,24,3,3,1,2,5,3,4,4,0,3
121,59,No,Travel_Rarely,Sales,23,5,Technical Degree,4,Male,2,2,Sales Executive,3,Married,91938,0,No,14,4,4,3,41,1,3,0,0,0,0
122,41,No,Travel_Frequently,Sales,19,4,Other,1,Male,4,1,Manager,4,Divorced,73358,1,No,13,3,2,0,23,2,2,8,0,1,3
123,51,No,Travel_Rarely,Research & Development,21,3,Technical Degree,1,Male,3,2,Manager,4,Married,82331,9,No,23,3,4,0,33,3,3,19,10,1,0
124,37,No,Travel_Frequently,Research & Development,4,1,Life Sciences,4,Female,2,1,Manager,3,Married,86412,2,No,17,3,1,0,19,5,4,6,2,0,1
125,27,No,Non-Travel,Sales,14,4,Life Sciences,3,Female,2,2,Sales Executive,3,Divorced,65177,5,No,17,3,3,3,9,6,1,5,5,0,1
126,33,Yes,Travel_Rarely,Research & Development,24,4,Human Resources,2,Female,3,1,Laboratory Technician,2,Divorced,95035,1,Yes,15,4,2,1,15,2,2,1,1,0,0
127,18,No,Travel_Rarely,Sales,23,2,Technical Degree,4,Female,4,4,Sales Representative,3,Married,129185,9,No,15,3,3,3,0,1,3,17,1,1,4
128,34,Yes,Travel_Frequently,Sales,25,5,Life Sciences,3,Female,3,5,Manager,4,Divorced,133402,3,No,19,3,4,3,16,4,3,0,0,0,0
129,37,No,Non-Travel,Research & Development,20,4,Human Resources,3,Male,3,4,Manager,4,Married,129638,6,No,17,3,3,1,19,6,3,1,1,0,0
130,36,No,Travel_Rarely,Research & Development,19,4,Marketing,4,Male,2,3,Research Director,3,Married,101848,5,No,21,3,3,0,18,1,3,5,0,2,2
131,18,No,Travel_Frequently,Research & Development,3,1,Other,4,Male,3,2,Research Director,3,Single,106372,1,Yes,17,4,3,0,0,2,3,3,3,0,0
132,24,No,Non-Travel,Sales,6,2,Human Resources,4,Female,4,2,Sales Representative,3,Single,78332,5,Yes,12,3,3,0,6,5,3,7,2,0,0
133,45,No,Non-Travel,Human Resources,7,3,Other,4,Female,4,3,Human Resources,2,Single,129073,6,No,11,3,4,0,27,3,3,0,0,0,0
134,32,No,Non-Travel,Sales,15,5,Medical,4,Male,3,2,Sales Representative,2,Divorced,97340,9,No,16,3,3,2,14,0,3,7,1,0,1
135,43,No,Travel_Rarely,Research & Development,21,5,Other,2,Male,3,2,Manager,2,Divorced,96663,9,No,17,3,2,1,25,3,3,12,2,2,0
136,42,No,Travel_Rarely,Sales,23,4,Technical Degree,4,Female,3,3,Sales Representative,4,Single,105356,7,No,21,3,2,1,24,3,3,0,0,0,0
137,39,Yes,Non-Travel,Sales,27,3,Human Resources,4,Female,3,1,Sales Executive,2,Single,51233,9,No,15,3,4,1,21,0,3,3,3,3,1
138,30,No,Non-Travel,Research & Development,23,3,Other,3,Male,3,1,Manager,4,Divorced,48873,3,No,23,3,4,1,12,1,3,6,1,1,2
139,18,No,Non-Travel,Research & Development,25,4,Life Sciences,3,Male,3,2,Laboratory Technician,3,Married,115446,8,No,24,3,4,0,0,5,2,2,2,2,0
140,36,No,Non-Travel,Sales,25,1,Technical Degree,4,Female,3,4,Manager,4,Divorced,146549,7,No,21,3,3,0,18,0,3,15,6,1,0
141,39,No,Travel_Frequently,Research & Development,14,2,Technical Degree,4,Female,3,2,Manufacturing Director,4,Married,64347,1,No,19,3,4,2,21,6,1,7,1,0,7
142,37,No,Non-Travel,Research & Development,14,2,Other,4,Female,4,3,Research Director,4,Single,115213,2,Yes,18,3,3,0,19,3,1,1,1,0,1
143,38,Yes,Travel_Rarely,Research & Development,4,1,Medical,4,Female,3,1,Research Scientist,3,Married,55324,3,No,21,3,3,0,20,3,2,2,2,2,2
144,39,No,Non-Travel,Research & Development,10,2,Technical Degree,4,Male,2,3,Research Scientist,4,Single,124740,1,No,16,3,2,3,21,0,3,6,4,0,6
145,20,No,Travel_Frequently,Research & Development,19,4,Marketing,3,Male,3,2,Research Scientist,4,Married,70806,1,No,13,3,3,2,2,0,2,5,0,0,5
146,38,No,Travel_Rarely,Research & Development,29,2,Technical Degree,4,Female,3,3,Laboratory Technician,3,Married,98669,6,No,21,3,3,0,20,2,3,1,1,0,1
147,28,No,Travel_Frequently,Sales,9,2,Life Sciences,4,Female,3,5,Sales Executive,1,Single,165804,1,No,20,3,3,1,10,0,3,5,2,2,5
148,29,No,Non-Travel,Research & Development,13,5,Other,3,Female,3,3,Manufacturing Director,1,Divorced,120504,3,No,13,3,2,1,11,6,3,0,0,0,0
149,60,No,Travel_Frequently,Research & Development,23,1,Medical,2,Male,3,1,Laboratory Technician,4,Married,68559,2,No,11,3,1,1,42,0,3,2,2,0,0
150,36,No,Non-Travel,Research & Development,19,1,Technical Degree,2,Female,1,1,Laboratory Technician,4,Married,96562,4,No,12,3,4,0,18,4,4,8,2,0,6
151,42,No,Non-Travel,Research & Development,13,2,Medical,3,Male,3,1,Healthcare Representative,1,Single,84588,0,Yes,11,3,2,2,24,1,4,2,2,0,0
152,36,No,Travel_Frequently,Research & Development,2,4,Life Sciences,3,Female,2,1,Laboratory Technician,4,Married,79310,0,No,14,3,3,2,18,1,4,1,1,1,1
153,42,No,Travel_Frequently,Sales,26,2,Medical,4,Male,3,2,Sales Representative,2,Single,106211,3,No,25,3,2,0,24,5,4,8,7,0,2
154,40,No,Travel_Rarely,Research & Development,5,3,Life Sciences,4,Male,2,5,Manager,1,Single,153115,3,No,18,4,4,2,22,3,4,1,1,1,0
155,27,No,Non-Travel,Research & Development,9,3,Technical Degree,1,Female,2,5,Healthcare Representative,1,Divorced,165797,6,No,13,3,4,0,9,5,2,18,14,5,2
156,37,No,Non-Travel,Sales,28,1,Life Sciences,2,Male,3,3,Sales Executive,3,Single,110446,3,No,15,3,3,0,19,3,2,2,2,0,2
157,33,No,Travel_Frequently,Research & Development,18,5,Medical,4,Female,3,1,Laboratory Technician,4,Single,65362,2,No,17,4,1,0,15,0,3,0,0,0,0
158,35,No,Travel_Frequently,Sales,21,4,Medical,3,Male,3,1,Sales Executive,4,Single,63404,1,Yes,12,3,3,0,17,0,3,5,5,0,3
159,39,No,Non-Travel,Sales,20,5,Human Resources,1,Female,3,4,Manager,3,Single,143344,4,Yes,25,3,2,0,21,3,3,1,0,1,0
160,37,No,Non-Travel,Research & Development,16,5,Technical Degree,2,Male,3,1,Research Scientist,1,Married,85982,0,No,23,3,3,1,19,3,4,19,6,12,1
161,32,No,Travel_Rarely,Sales,8,3,Human Resources,2,Male,3,1,Sales Representative,4,Divorced,91140,3,No,12,3,3,2,14,1,4,4,3,4,4
162,32,No,Travel_Rarely,Research & Development,19,5,Medical,2,Female,4,5,Manufacturing Director,4,Divorced,171800,9,No,22,3,3,2,14,0,2,3,3,0,0
163,24,No,Travel_Rarely,Human Resources,6,3,Life Sciences,2,Male,1,2,Manager,1,Single,76220,3,No,13,3,3,1,6,6,2,2,1,0,0
164,36,No,Non-Travel,Research & Development,16,3,Medical,4,Female,3,5,Research Director,3,Divorced,153513,2,Yes,17,3,2,1,18,5,3,3,3,0,3
165,45,No,Non-Travel,Research & Development,26,5,Medical,2,Male,4,2,Laboratory Technician,4,Divorced,86790,9,No,13,3,1,0,27,0,2,20,2,1,0
166,38,Yes,Travel_Rarely,Sales,8,1,Marketing,3,Male,3,2,Sales Executive,2,Married,97386,5,No,11,3,4,2,20,3,4,6,2,0,0
167,31,Yes,Travel_Frequently,Research & Development,28,1,Marketing,3,Male,3,4,Manufacturing Director,3,Single,121667,3,No,18,3,2,0,13,1,3,10,1,0,10
168,49,No,Travel_Rarely,Sales,29,4,Medical,4,Male,3,3,Sales Representative,3,Single,101438,0,No,21,3,3,0,31,3,1,8,0,3,1
